Source.Name,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
redfin_2021-12-30-21-40-26.csv,PAST SALE,3/31/2021,Single Family Residential,2811 Joseph Makell Ct,Alexandria,VA,22306,480000,4,3,GABRIEL PLAZA,1080,5832,1972,274,444,,Sold,,,https://www.redfin.com/VA/Alexandria/2811-Joseph-Makell-Ct-22306/home/9817342,BRIGHT MLS,VAFX1182378,N,Y,38.746713,-77.0804822
redfin_2021-12-30-21-40-26.csv,PAST SALE,9/15/2021,Single Family Residential,4728 Virginia St,Alexandria,VA,22312,1255000,5,6,SOUTHERN VILLA,10360,28610,2013,106,121,,Sold,,,https://www.redfin.com/VA/Alexandria/4728-Virginia-St-22312/home/9722874,BRIGHT MLS,VAFX2007876,N,Y,38.8207275,-77.159391
redfin_2021-12-30-21-40-26.csv,PAST SALE,6/11/2021,Single Family Residential,6602 Berkshire Dr,Alexandria,VA,22310,576000,4,2,VIRGINIA HILLS,2002,10017,1952,202,288,,Sold,,,https://www.redfin.com/VA/Alexandria/6602-Berkshire-Dr-22310/home/9789203,BRIGHT MLS,VAFX1199868,N,Y,38.7748304,-77.0966682
redfin_2021-12-30-21-40-26.csv,PAST SALE,7/6/2021,Single Family Residential,6461 First St,Alexandria,VA,22312,600000,3,3,WEYANOKE,2125,12375,1954,177,282,,Sold,,,https://www.redfin.com/VA/Alexandria/6461-First-St-22312/home/9724008,BRIGHT MLS,VAFX1197558,N,Y,38.8194963,-77.1546503
redfin_2021-12-30-21-40-26.csv,PAST SALE,8/17/2021,Single Family Residential,4117 Westman Ct,Alexandria,VA,22306,725000,4,2.5,WOODSTONE,2486,10045,1988,135,292,44,Sold,,,https://www.redfin.com/VA/Alexandria/4117-Westman-Ct-22306/home/9789086,BRIGHT MLS,VAFX2006812,N,Y,38.7658541,-77.1039737
redfin_2021-12-30-21-40-26.csv,PAST SALE,3/24/2021,Single Family Residential,2215 William And Mary Dr,Alexandria,VA,22308,740000,5,2.5,KIRK,2850,17052,1963,281,260,,Sold,,,https://www.redfin.com/VA/Alexandria/2215-William-and-Mary-Dr-22308/home/9818872,BRIGHT MLS,VAFX1181830,N,Y,38.7350681,-77.0681164
redfin_2021-12-30-21-40-26.csv,PAST SALE,3/23/2021,Single Family Residential,900 Banks Pl,Alexandria,VA,22312,755000,3,3,LINCOLNIA HILLS,1869,13199,1964,282,404,,Sold,,,https://www.redfin.com/VA/Alexandria/900-Banks-Pl-22312/home/11856717,BRIGHT MLS,VAAX256442,N,Y,38.8239934,-77.1380227
redfin_2021-12-30-21-40-26.csv,PAST SALE,9/13/2021,Single Family Residential,4811 Seminole Ave,Alexandria,VA,22312,605000,3,3,WEYANOKE,1536,7500,1935,108,394,,Sold,,,https://www.redfin.com/VA/Alexandria/4811-Seminole-Ave-22312/home/9722863,BRIGHT MLS,VAFX2011686,N,Y,38.8196084,-77.1532941
redfin_2021-12-30-21-40-26.csv,PAST SALE,5/18/2021,Single Family Residential,8011 Noel St,Alexandria,VA,22309,525000,4,2,WOODLAWN TERRACE,1377,13344,1964,226,381,,Sold,,,https://www.redfin.com/VA/Alexandria/8011-Noel-St-22309/home/9811200,BRIGHT MLS,VAFX1184430,N,Y,38.7384031,-77.117808
redfin_2021-12-30-21-40-26.csv,PAST SALE,6/9/2021,Single Family Residential,8423 Woodlawn St,Alexandria,VA,22309,525000,3,2,ENGLESIDE VILLAGE,1424,14000,1944,204,369,,Sold,,,https://www.redfin.com/VA/Alexandria/8423-Woodlawn-St-22309/home/9813936,BRIGHT MLS,VAFX1197458,N,Y,38.7277574,-77.1178867
